RMC,CCC,Complexity
33.5,4.999594795,0.070932079
57,5.052541653,0.071246667
26,4.942764356,0.067321808
42.5,4.937573464,0.066872397
29.5,4.913462067,0.067471612
46.5,5.028423903,0.070407766
32,5.028490477,0.071066902
46.5,5.04177843,0.070527609
24.5,4.948635826,0.067411691
50,5.052172725,0.070497648
38.5,5.052553714,0.071246667
49,5.041006504,0.070782275
23.5,5.028624948,0.070332864
43.5,4.999972823,0.070048237
37.5,5.052421614,0.071321569
50.5,5.056637692,0.070602511
24,5.028632836,0.070362825
42.5,5.023945355,0.070048237
24.5,5.052163154,0.070677413
22,4.942764293,0.066827456
54.5,5.062289437,0.070527609
37.5,5.048910022,0.070782275
47.5,5.024251504,0.069898433
22,5.028191013,0.070123139
50,5.023954589,0.070647452
30,5.057006037,0.070692393
41,5.056755782,0.071411451
50.5,4.942392922,0.067112083
36,5.028383799,0.070527609
42.5,4.926485767,0.067037181
26,5.056867107,0.070602511
42.5,4.93756369,0.067037181
28,5.052412286,0.070872157
37.5,4.912991633,0.067756239
50.5,4.933157104,0.067321808
28.5,5.0569882,0.070782275
43.5,5.028412326,0.070332864
22,5.023954589,0.070048237
22.5,4.926242921,0.066857417
47,4.938083023,0.067142044
36,5.05681375,0.071171765
54,5.056774983,0.07096204
25,5.048132685,0.070018276
31,5.052406088,0.070527609
49.5,5.057143267,0.070812236
25,5.028565456,0.070272942
61,5.028136199,0.071351529
23,4.973259382,0.067261887
42.5,4.937944619,0.066872397
27.5,5.023698764,0.070242982
43.5,4.961846789,0.067082122
32,4.978046428,0.067546514
33.5,4.942766229,0.067756239
58,5.052050316,0.071516314
27,5.008427336,0.06977859
51,4.942392445,0.067471612
25,5.057132924,0.070527609
59,5.052176796,0.071246667
28,4.973212215,0.067456632
25,5.052160299,0.070302903
33.5,5.052551162,0.07096204
33,5.057124785,0.070887138
59,5.056999515,0.071246667
22,4.937690094,0.066752554
62,5.052551162,0.071201726
31.5,5.033619617,0.070662432
33,5.052293068,0.070902118
58,5.057005521,0.071321569
24,5.019721529,0.06977859
43.5,4.937808249,0.066827456
22.5,5.024076463,0.069958355
55,5.028261008,0.071471373
35,5.02448382,0.071126824
55,5.024599972,0.070377805
26.5,5.02831405,0.070362825
43.5,5.028562037,0.069973335
23,5.028701606,0.070272942
27.5,4.949004277,0.067531534
30.5,5.052283376,0.070707373
33,5.056996997,0.070902118
38.5,5.052598376,0.071246667
48.5,5.023708151,0.070392785
59.5,5.028692814,0.07096204
27,4.977857153,0.067501573
54,5.052175915,0.07096204
26.5,5.000105694,0.070527609
27,5.028559778,0.070332864
47,4.942550108,0.067142044
38.5,4.973269125,0.068100788
42.5,4.937689712,0.066872397
35,5.052173454,0.071171765
48.5,5.052399222,0.070827216
31,5.02370384,0.070782275
37,5.052389713,0.071216706
29,5.048139821,0.070272942
35.5,5.040890077,0.071261647
52.5,4.973236681,0.067846122
26,4.942384054,0.067157024
31.5,5.048498881,0.07058753
42.5,4.937945096,0.067037181
33,5.057001032,0.070902118
35,5.012877369,0.070842197
35.5,4.973037198,0.068130749
