RMC,CCC,Cyclomatic Complexity
43,5.041312157,0
46,5.052821855,0
46.5,4.937690952,0
50.5,5.041372397,0
42.5,5.023585452,0
114.5,4.913471106,0
61.5,4.977669465,0
55.5,5.057123884,0
61.5,5.028567898,0
56.5,4.973815994,0
47,5.019614267,0
148.5,4.913609753,0
65,5.04177843,0
59.5,4.972893646,0
43.5,5.028578704,0
64,5.052423193,0
56.5,4.937934081,0
42.5,5.052270555,0
42.5,4.942775323,0
64,5.041243626,0
43.5,5.012888656,0
63.5,5.000086308,0
64.5,4.978182223,0
57,5.057181761,0
56.5,5.028571714,0
61,5.028434557,0
42.5,4.942529575,0
56.5,5.012377887,0
43.5,5.057143714,0
52.5,5.037176068,0
65,5.052137725,0
45.5,4.942627036,0
38.5,5.052947343,0
34,4.942764737,0
47.5,5.024344548,0
31,5.052939018,0
54,4.942392731,0
40.5,5.028319776,0
46.5,4.926485767,0
35,5.02408695,0
43.5,5.023809203,0
32,5.057123611,0
42.5,4.937944905,0
34.5,5.000380206,0
43.5,5.028191349,0
37,5.02414538,0
44,5.024086614,0
36.5,5.052541653,0
42.5,4.913470626,0
23,5.02855932,0
47.5,5.023944897,0
23,4.927013971,0
45,5.05712433,0
28,5.028977141,0
48.5,5.012754185,0
30,5.023935204,0
22,4.942814421,0
45.5,5.052938228,0
27.5,4.973403659,0
52,5.023954589,0
24,5.057000243,0
58,5.057124066,0
23,4.93793513,0
53,5.056994198,0
27,5.023857665,0
54,5.057412967,0
31,5.052534513,0
23,5.033979536,0
58,5.057003944,0
31.5,5.057401955,0
33.5,5.056990475,0
35,4.978172258,0
53,5.028623725,0
31,5.05257009,0
42.5,4.942757551,0
34,4.942902406,0
43.5,4.937944619,0
31,4.943166021,0
41.5,5.052552833,0
27,4.973265089,0
34.5,5.041788122,0
55,5.057136564,0
33,5.052414838,0
53.5,5.041300255,0
37.5,5.041258576,0
40.5,5.056992711,0
52,5.052540559,0
28,5.048489128,0
48.5,5.053093226,0
27,4.978046145,0
42.5,4.937797521,0
37.5,5.052413714,0
53,5.052406423,0
24,5.03731176,0
36.5,5.05281591,0
58.5,5.052550706,0
22,4.938355158,0
58,5.052831223,0
23.5,5.028690952,0
47.5,5.025026897,0
36.5,5.052830737,0
51.5,5.056662132,0
30.5,5.028491088,0
50.5,5.056996967,0
22,4.942764166,0
33,5.04125155,0
58,5.052531961,0
22.5,4.942901581,0
44.5,5.023954589,0
35,5.041373342,0
42.5,4.913460851,0
38.5,5.023945172,0
47,4.977830963,0
30,5.057126614,0
48.5,4.978051591,0
24,5.028490721,0
57.5,5.056900505,0
41,5.056996967,0
48.5,4.938082546,0
31.5,5.019963659,0
34,5.041382882,0
44,5.012745934,0
36.5,5.040975264,0
30,5.028633111,0
56.5,5.057046077,0
31,5.052473172,0
49.5,5.028568173,0
30,5.056871202,0
42.5,4.926348916,0
26,4.937798284,0
37,5.052173484,0
48,4.97818046,0
35,5.02855526,0
54,5.056538287,0
23,4.948731826,0
29.5,5.062153035,0
40.5,5.056847451,0
47.5,4.948517261,0
37.5,5.052551162,0
42.5,4.942627512,0
25,5.028624183,0
64,5.056637843,0
54,5.028623419,0
42.5,4.961844227,0
55.5,5.052074986,0
42.5,5.052163671,0
45,4.937820058,0
42.5,4.973264774,0
42.5,4.937934081,0
42.5,5.052541015,0
46.5,5.028423628,0
42.5,5.057115291,0
42.5,4.93834745,0
42.5,4.942549696,0
46,5.052072707,0
43.5,5.052398614,0
49.5,5.052279153,0
42.5,4.93756601,0
42.5,5.028553951,0
39,4.973383291,0
50,5.02833552,0
31.5,5.024362741,0
43.5,4.913470914,0
25.5,5.052414474,0
51.5,5.02406677,0
36.5,5.028565456,0
54.5,5.052405329,0
38.5,5.028652221,0
54,5.056999151,0
35.5,5.056634689,0
43.5,4.942764356,0
23.5,5.028419751,0
48.5,5.0281894,0
30,5.052415021,0
53,4.824551226,0
52,5.057007675,0
35,4.938083023,0
44.5,4.977909311,0
22,4.937944619,0
43.5,4.948869147,0
29,5.057123611,0
28,4.937945096,0
44.5,5.023712554,0
24,5.023954864,0
54.5,5.056816025,0
39.5,5.052285594,0
61,5.028134609,0
24,4.968493037,0
43.5,4.973265121,0
29.5,5.041371361,0
32,5.041244418,0
54.5,5.056693354,0
22,4.937573655,0
46.5,5.052423832,0
34.5,5.041228844,0
58,5.056656893,0
23,5.019992553,0
44.5,5.056990809,0
41,5.056997422,0
48.5,5.00016339,0
34,5.000512615,0
31,5.052957764,0
28,5.028554985,0
55,5.05739949,0
36.5,5.028505673,0
42.5,4.942392445,0
45,5.056636903,0
