RMC,CCC
23,5.028551274
51,4.942509741
28,5.052039865
46.5,5.041251276
27,5.024348245
56,5.048193538
33,5.052431032
57,5.012755627
26,5.028183151
54,5.023737228
29.5,5.041245363
22,4.942755488
50.5,5.028449606
23,5.024251137
30.5,5.056864286
49.5,5.028031142
39.5,4.973272057
35.5,5.056843923
39.5,5.052049283
54,5.041099981
34,5.052284348
46.5,4.94241228
34.5,4.978046145
46.5,4.942764356
64,5.04137197
48.5,5.023818375
26,5.052172694
45.5,5.023738298
45,4.973402555
61.5,4.942392922
47,4.91325784
34.5,5.057132924
43.5,5.024483663
32,5.028221327
43.5,5.052097712
35,4.913609465
56.5,5.02834295
44.5,5.056855125
23,4.977762544
33,5.028352501
26,4.937934844
46.5,5.052560246
31.5,5.048491121
43.5,5.028540393
29.5,5.02896667
41.5,5.057132924
59,5.057008918
38.5,5.057135472
51,5.056913275
23,4.942629099
48.5,5.012877553
33.5,4.999595257
60,5.057132651
22,4.937690952
50.5,5.056996967
23.5,5.012619929
53,5.057000698
22,4.937807772
26,4.937573655
59.5,4.999634706
34,4.942745188
58.5,5.056767187
29,5.048132351
43.5,5.023808958
23,4.995736762
43.5,5.023701791
24,5.052724937
40,4.633556546
45,5.028399268
37.5,5.024096643
51,5.024003816
22,4.942470928
48.5,5.052412286
26,4.94276388
50.5,5.056734154
38.5,5.052182417
25,5.056745013
45.5,5.041245363
22,4.937866421
52.5,5.023586552
35.5,4.999605811
45.5,5.057000243
32.5,4.978180177
43.5,5.024154121
38,5.028451248
34.5,5.056659463
47,5.02855814
27,4.942627036
43.5,5.019643345
28,4.999722435
48.5,5.01250923
27,5.056637752
43.5,5.023944163
29.5,4.942392731
22,5.023944897
57.5,5.05675833
32.5,5.023719097
28,5.012620389
30.5,5.019643131
49.5,5.056626165
22.5,4.93770079
25,5.056923164
22,4.937857059
27,4.937808249
47,5.052601991
23,5.024464278
58,5.012577447
31.5,5.028201362
49.5,4.91325784
43.5,4.977792026
42.5,5.028701331
46.5,4.942764356
43.5,4.942451379
51,4.983256922
30,5.052244426
25,4.978049261
55.5,4.977808772
22,4.942510217
22,5.023577043
47,4.815694881
22,4.937825955
50,4.942294985
34.5,5.056784205
48,5.028341755
25.5,5.052182417
25,5.056764821
48.5,5.052185424
31,5.023944897
48.5,5.041242468
36.5,5.028236376
45.5,5.052105945
35,5.028156287
36,5.056757875
23,5.024367354
30.5,5.041083736
46.5,4.913099162
43,4.928744482
44.5,5.056989201
35.5,5.056845176
32.5,5.023951256
43,5.028555443
33,5.057132651
52,5.019643804
29,5.028229447
45.5,5.052173819
25.5,5.056764366
51.5,5.05219223
30.5,5.024185028
47.5,5.028191288
22,4.94239527
35.5,5.056991264
44.5,5.056680948
22.5,5.0284591
46.5,4.942451569
30,5.052182872
57,5.056632929
34,5.028322371
52.5,4.977909595
40,5.057124066
22,4.926349394
55.5,5.056667904
23,5.033611235
44,5.028438678
29,5.028449423
46.5,4.94239546
23,4.977904967
57,5.028333116
22,4.926212543
52,5.056852517
29,5.056634507
52.5,5.028105111
37.5,5.056764366
46.5,5.056868078
36.5,5.041372153
27,4.937807772
22,4.937944905
50.5,5.056764639
27,5.028191288
58.5,5.056764821
34,5.028298682
32,5.052046427
34,5.056637055
31,5.019643804
48,5.028322828
26,5.056637055
54,5.056900323
37.5,5.057132651
28.5,5.023998924
49.5,5.052182386
41,5.056757875
56,5.05241256
36.5,5.056865348
52,5.056865014
22.5,4.913609753
49,5.056755509
23,5.023809478
57,5.023951532
34,5.028267092
44.5,5.052415294
28,4.977892691
48.5,5.056990809
36.5,5.057002973
26,4.937710502
24,5.029701333
48.5,5.056990809
36.5,5.056632474
50.5,5.052014739
32.5,5.048362463
37.5,5.052288207
54.5,5.023611685
22.5,4.942901867
54.5,5.057005521
22,5.028191777
42.5,5.019992737
52.5,5.056855125
42.5,5.056658683
64,4.942412471
49.5,5.04100367
43,4.977772478
57,5.028565456
41,5.056721868
57,5.057123611
43.5,4.938082546
57,5.056643681
42.5,5.028690952
46,5.057181761
42.5,5.028237862
43.5,5.008408011
43.5,4.942574704
43.5,5.057002518
36.5,5.05686826
58,5.052415021
45.5,4.942392731
53,5.0520769
35.5,5.052318102
56,5.056622798
29,5.023587072
62,5.056734154
35.5,5.028134273
44,5.024075668
41.5,5.056874448
37,4.94252929
49.5,4.978046145
30,5.056870535
50.5,5.056861283
24.5,5.057133106
46.5,5.023576585
22,4.942392445
57,5.056732121
36,5.056978038
30,5.05678375
23,4.937575244
52.5,4.999883155
34,5.05705539
37,5.052273107
57,5.028341694
29.5,5.028423628
56.5,5.05677471
27,5.024483663
54.5,5.057133106
31.5,5.02855526
33.5,4.942764229
33.5,4.999750222
49.5,5.056873461
31,5.034110228
53,5.057123611
30.5,4.942532305
43.5,5.028182693
39.5,5.028570065
50.5,4.937947766
32,5.052957541
53.5,5.052285654
34.5,5.028210398
48.5,5.036936585
36.5,5.05204427
52.5,5.052172634
36.5,5.062025773
