CCC,Execution Time
5.05681375,0
5.056774983,0
5.048132685,0
5.052406088,0
5.057143267,0
5.028565456,0
5.028136199,0
4.973259382,1
4.937944619,1
5.023698764,0
4.961846789,0
4.978046428,0
4.942766229,0
5.052050316,0
5.008427336,0
4.942392445,0
5.057132924,0
5.052176796,1
4.973212215,1
5.052160299,0
5.052551162,1
5.057124785,1
5.056999515,0
4.937690094,1
5.052551162,1
5.033619617,0
5.052293068,0
5.057005521,0
5.019721529,0
4.937808249,1
5.024076463,1
5.028261008,0
5.02448382,0
5.024599972,1
5.02831405,0
5.028562037,0
5.028701606,0
4.949004277,0
5.052283376,0
5.056996997,1
5.052598376,0
5.023708151,1
5.028692814,1
4.977857153,0
5.052175915,0
5.000105694,1
5.028559778,0
4.942550108,0
4.973269125,0
4.937689712,1
5.052173454,1
5.052399222,0
5.02370384,0
5.052389713,0
5.048139821,1
5.040890077,0
4.973236681,1
4.942384054,0
5.048498881,0
4.937945096,1
5.057001032,1
5.012877369,0
4.973037198,0
5.052532417,0
5.028496103,1
5.056841809,1
4.938354872,0
4.942394984,0
5.02357579,1
5.012407732,0
4.937993206,1
5.05654129,1
5.019749228,0
5.024172838,0
5.028551274,0
4.942509741,0
5.052039865,1
5.041251276,1
5.024348245,0
5.048193538,0
5.052431032,0
5.012755627,0
5.028183151,0
5.023737228,0
5.041245363,0
4.942755488,0
5.028449606,1
5.024251137,1
5.056864286,1
5.028031142,1
4.973272057,1
5.056843923,1
5.052049283,1
5.041099981,1
5.052284348,0
4.94241228,0
4.978046145,0
4.942764356,1
5.04137197,0
5.023818375,0
5.052172694,0
5.023738298,0
4.973402555,0
4.942392922,1
4.91325784,0
5.057132924,0
5.024483663,0
5.028221327,1
5.052097712,0
4.913609465,0
5.02834295,1
5.056855125,0
4.977762544,1
5.028352501,0
4.937934844,0
5.052560246,0
5.048491121,0
5.028540393,0
5.02896667,0
5.057132924,1
5.057008918,1
5.057135472,1
5.056913275,1
4.942629099,0
5.012877553,1
4.999595257,1
5.057132651,1
4.937690952,0
5.056996967,0
5.012619929,0
5.057000698,0
4.937807772,0
4.937573655,0
4.999634706,0
4.942745188,1
5.056767187,0
5.048132351,0
5.023808958,0
4.995736762,0
5.023701791,1
5.052724937,0
4.633556546,0
5.028399268,1
5.024096643,0
5.024003816,0
4.942470928,0
5.052412286,1
4.94276388,1
5.056734154,0
5.052182417,0
5.056745013,1
5.041245363,0
4.937866421,0
5.023586552,1
4.999605811,1
5.057000243,0
4.978180177,1
5.024154121,1
5.028451248,1
5.056659463,0
5.02855814,1
4.942627036,1
5.019643345,1
4.999722435,1
5.01250923,0
