RMC,CCC,Complexity
3.833333333,5.422730448,1
3.833333333,5.840704705,1
3.833333333,5.632166234,1
4.333333333,5.724913758,1
4.833333333,5.908121496,1
2.333333333,2.894993886,1
4.333333333,5.709367442,1
2.833333333,5.184457862,1
1.333333333,5.047890552,1
3.333333333,5.471257991,1
3.333333333,5.629422689,1
4.333333333,5.897699861,1
2.833333333,5.661462456,1
3.833333333,5.718671589,1
2.333333333,2.867526268,1
4.333333333,5.917517099,1
2.333333333,2.867502282,1
3.833333333,5.387828213,1
3.833333333,5.606370543,1
2.333333333,5.007903958,1
3.833333333,5.594584776,1
3.333333333,5.743422883,1
3.833333333,5.672924222,1
3.333333333,5.633577384,1
3.333333333,4.013785826,1
2.833333333,5.589788024,1
3.333333333,5.555181235,1
3.333333333,5.475118941,1
4.333333333,5.66987523,1
2.833333333,5.044972808,1
1.333333333,4.858094343,1
1.833333333,5.036944316,1
3.833333333,5.801033827,1
2.833333333,5.566600362,1
2.333333333,5.041227453,1
3.833333333,5.662644896,1
5,6.021893077,1
1.333333333,4.851581605,1
3.333333333,5.547916528,1
29,3.624517198,1
26.5,3.623153579,1
32,3.624293058,1
20,3.608119014,1
23,3.623271073,1
11,3.602503145,1
32,3.623918868,1
10.5,3.601797736,1
10.5,3.615470946,1
20.5,3.623348203,1
34.5,3.615598641,1
20,3.615470753,1
14,3.623858458,1
28.5,3.623323944,1
31.5,3.623726555,1
29,3.624497379,1
16.5,3.623804157,1
16.5,3.633147826,1
13.5,3.62353107,1
14.5,3.613564683,1
17,3.615735569,1
19.5,3.624178594,1
17,3.606337889,1
17.5,3.605302127,1
26.5,3.62430188,1
19.5,3.623535238,1
20,3.623443128,1
14,3.602874274,1
20,3.608209607,1
7.5,3.604938361,1
13.5,3.601538604,1
8,3.60844202,1
17,3.624593512,1
14,3.624917772,1
29,3.62363667,1
14.5,3.625206184,1
11,3.624606127,1
8,3.624378496,1
17,3.624413253,1
19.5,3.623186685,1
41,3.624961658,1
22.5,3.611317882,1
26.5,3.624106689,1
8,3.623661223,1
22.5,3.623987876,1
17,3.62400218,1
14.5,3.633411099,1
32,3.62349499,1
13.5,3.623561892,1
23,3.623973397,1
32,3.625347511,1
11,3.601629156,1
8,3.624566246,1
25.5,3.623382827,1
14,3.623473327,1
20,3.623453996,1
14,3.615136414,1
11.5,3.623344809,1
23,3.614943971,1
11.5,3.622932228,1
32,3.623737103,1
23,3.624625103,1
11,3.623351504,1
20,3.623251183,1
29,3.623481827,1
32.5,3.62470764,1
11.5,3.630452352,1
23,3.624542173,1
10.5,3.62346681,1
17,3.588249578,1
29,3.624098212,1
20,3.623374022,1
32,3.623453006,1
22.5,3.624303204,1
4.5,3.602034372,1
23,3.63252423,1
28.5,3.624191766,1
11.5,3.613773774,1
20,3.624291415,1
5,3.603695807,1
26,3.624071931,1
26,3.624507393,1
29,3.624205658,1
23.5,3.624550802,1
14,3.623931849,1
29,3.623666808,1
17,3.623050911,1
26.5,3.633972073,1
17,3.624189278,1
32,3.623733598,1
29,3.625390011,1
32.5,3.623569691,1
14,3.623580988,1
28.5,3.631640245,1
29.5,3.623897786,1
29.5,3.623583956,1
32,3.624469265,1
32,3.623780862,1
26,3.623599477,1
17,3.624117203,1
14,3.623202225,1
32.5,3.62363185,1
32.5,3.624008458,1
11,3.602781965,1
20,3.623471048,1
13.5,3.623507789,1
32,3.624127064,1
7.5,3.623690363,1
32,3.623854328,1
32,3.623820766,1
19.5,3.623385087,1
26,3.614745334,1
19.5,3.6317868,1
29,3.623305592,1
8,3.610842645,1
20,3.62353828,1
25.5,3.62416769,1
31.5,3.624400756,1
7.5,3.623665014,1
5.5,3.604275919,1
35,3.624080861,1
19.5,3.62392553,1
8,3.600343256,1
20.5,3.6245399,1
20,3.623967681,1
20,3.624561272,1
32,3.632978319,1
22.5,3.624373351,1
26,3.622340263,1
22.5,3.623254939,1
22.5,3.62411658,1
17,3.62457859,1
19.5,3.623357457,1
20,3.624395796,1
17,3.624884887,1
23,3.625080962,1
23.5,3.618982732,1
16.5,3.623929798,1
11,3.623521102,1
16.5,3.624136099,1
16.5,3.623587571,1
25.5,3.623416799,1
17,3.623440899,1
14,3.622142508,1
29.5,3.623598426,1
20,3.624697102,1
14,3.623545127,1
23,3.624085181,1
16.5,3.623728918,1
23.5,3.624092838,1
29,3.624640934,1
22.5,3.624430309,1
32,3.624037929,1
10.5,3.612928862,1
14.5,3.624556498,1
25.5,3.621548539,1
14,3.624509172,1
32,3.623740534,1
23,3.624385179,1
25.5,3.624791686,1
20.5,3.623925157,1
17.5,3.623351683,1
14,3.623841065,1
8,3.623263842,1
16.5,3.623476031,1
14,3.623759617,1
23,3.623397734,1
20.5,3.623378561,1
29,3.624650132,1
13.5,3.623874271,1
23,3.633072577,1
11,3.613286825,1
8.5,3.623924894,1
16.5,3.603671948,1
16.5,3.604317318,1
19.5,3.62318054,1
22.5,3.623905442,1
17,3.63323246,1
13.5,3.623418812,1
26,3.624336435,1
32.5,3.623586066,1
26,3.623733536,1
23.5,3.623777562,1
