CCL,PLC,Attack
290.6283258,272.9472806,0.030022583
248.1429926,244.0737107,0.027570945
293.930532,273.1033054,0.031032132
293.984734,274.6996266,0.023533457
233.8133312,235.8885073,0.02497533
295.0872344,275.8729997,0.030599465
284.1643699,270.844019,0.029878364
251.4219585,243.6237689,0.026705709
304.0589757,277.927878,0.031032132
225.1088185,232.7553394,0.019641075
213.1021199,198.7304218,0.029301493
259.2216402,243.6660114,0.026849913
302.1235959,276.5563332,0.031464804
282.5668336,260.5648602,0.030022583
266.6715122,249.2980962,0.02858042
291.0435652,272.5753899,0.030599465
285.0589524,274.7248964,0.030887909
282.8242737,272.6098168,0.031320579
304.6906749,279.0924463,0.031176355
296.8108995,275.551964,0.031032132
207.288213,225.4494642,0.019641075
219.3783481,201.2355002,0.030455243
285.6755111,272.6395608,0.030311022
269.3079715,251.2511815,0.027715153
137.8502976,136.1251737,0.020650096
253.3553324,248.8894778,0.027138324
288.2039421,274.8375502,0.030743686
137.7332112,137.5315888,0.020217647
289.6406873,271.2439244,0.029589927
278.4651215,264.3856685,0.02944571
284.6139453,271.7659338,0.030743686
263.3054853,248.3540517,0.026849913
301.4865089,276.7770791,0.031464804
290.1675135,275.6100029,0.031753254
284.1365734,270.8030423,0.029878364
262.0671254,250.6565879,0.027715153
280.155047,262.6482947,0.028868847
267.1455491,252.1713291,0.02728253
137.7332112,137.4808884,0.020217647
275.2315204,264.5710495,0.02944571
268.8802067,254.0819042,0.028868847
225.5547302,233.4789431,0.019641075
268.4877832,252.5895162,0.034493623
289.466351,273.9176549,0.030166802
293.4809796,274.8677028,0.030599465
277.6941675,265.4496809,0.02944571
272.4024315,269.7375677,0.029301493
294.0147977,275.920699,0.031320579
256.5522488,247.7688461,0.027138324
277.3954351,265.0151795,0.028724633
295.8531305,276.1607986,0.031032132
289.6758376,276.3461199,0.029589927
246.9585257,239.7956108,0.026705709
299.9128889,276.1022785,0.031464804
258.4329824,242.3510545,0.026417304
281.2985235,271.9875103,0.030887909
284.2092227,273.1025397,0.030022583
286.9266474,271.707349,0.031753254
198.4599567,210.4537896,0.020073501
281.1555457,267.6824182,0.029157277
287.2726376,275.9772874,0.029589927
289.1321048,274.8821842,0.030743686
298.0095712,275.0148435,0.031032132
210.4191295,225.4521531,0.019641075
292.0968839,272.016192,0.037378371
292.7241864,273.6614475,0.030599465
296.3985708,274.63431,0.031032132
281.5925134,272.7475491,0.030887909
294.5785449,276.4899297,0.030599465
283.0063289,272.9961408,0.030311022
283.2549544,271.3297784,0.029878364
294.0851561,272.6675273,0.031032132
291.891349,279.3520142,0.029589927
287.3777509,275.1871733,0.030022583
146.7989033,141.678318,0.021515042
235.1935613,232.5296608,0.026273103
267.141014,252.1757756,0.02728253
296.3985708,275.7921214,0.031032132
294.9611421,278.5156309,0.030599465
209.9157434,225.4430986,0.019641075
271.6225021,247.2746101,0.034349389
252.3936542,254.1736529,0.027570945
282.998822,266.6211465,0.02944571
272.1346959,262.7328878,0.029013062
288.4379403,274.8952996,0.031320579
295.0563549,278.4160646,0.031320579
299.2407566,282.3518949,0.030022583
288.6567825,269.7294513,0.029589927
273.4988985,263.9602184,0.029013062
289.3396307,276.9748083,0.030022583
205.1405284,225.4404097,0.019641075
197.3342417,196.8583688,0.028003573
254.3119108,252.929814,0.027859363
281.4406155,267.4457636,0.029157277
144.221131,140.6384969,0.020650096
293.1040698,277.6390411,0.029589927
225.1104728,232.7620339,0.019641075
257.479924,251.2764255,0.036224456
296.3255679,273.4208926,0.031032132
282.5710024,255.476779,0.030022583
285.3078857,270.649715,0.029157277
292.1461521,274.1637852,0.030599465
291.9318874,275.260338,0.030599465
285.7887321,274.2199566,0.032185933
299.6005579,275.1704297,0.031464804
225.0972387,232.7530914,0.019641075
216.0041873,196.7414765,0.029734145
290.2240199,275.8876556,0.030599465
255.5589447,246.3252526,0.02728253
276.2562664,268.0749953,0.029734145
235.1935613,232.5138442,0.026273103
281.8056225,271.4250105,0.030311022
264.8257408,246.898958,0.027715153
271.1666707,254.8595238,0.030311022
280.6119218,271.4675694,0.030887909
209.934405,225.4494642,0.019641075
192.8305057,196.8202098,0.027138324
259.8599417,248.4728241,0.028436207
297.0184123,279.4158762,0.030887909
255.5961075,242.2847805,0.026849913
232.7584581,236.3569254,0.02497533
292.0390197,273.3331868,0.030599465
246.0464474,240.9525551,0.026705709
282.459862,269.7571951,0.030743686
290.0160041,277.4294659,0.029589927
294.1286734,275.4018565,0.030599465
269.2377378,251.4057919,0.027715153
303.9576719,277.5431786,0.03189748
