RMC,CCC
3.833333333,5.571409409
2.833333333,5.2623003
2.333333333,5.241520244
3.833333333,5.961498885
2.833333333,4.822657382
3.333333333,5.822873581
3.333333333,5.554088238
3.833333333,5.684308191
2.333333333,5.380800645
3.333333333,5.146683803
3.333333333,5.694624095
2.333333333,5.064169088
1.333333333,5.047938485
1.833333333,5.037059414
1.333333333,4.162725644
3.333333333,5.500445043
1.333333333,4.180333261
2.833333333,5.461241395
1.833333333,4.917826257
4.333333333,5.675893876
1.833333333,4.978244332
1.333333333,5.11676875
4.833333333,5.767274909
1.833333333,5.384578144
2.333333333,5.064940247
4.333333333,5.473966797
3.833333333,5.549501653
3.833333333,5.541370613
4.333333333,5.862216886
3.333333333,5.513726119
3.333333333,5.233083474
3.333333333,5.867915562
2.333333333,2.831716854
3.333333333,5.859672506
2.333333333,3.780954445
3.333333333,5.405051017
1.333333333,4.808823302
2.333333333,3.551047871
4.333333333,5.811466904
2.333333333,5.562005276
2.833333333,4.992756466
4.333333333,5.736308738
3.833333333,5.649482792
4.333333333,5.797160656
2.833333333,5.531742344
4.333333333,5.661191478
4.333333333,5.670428006
3.833333333,5.514881771
2.333333333,5.249959265
3.333333333,5.411567729
2.833333333,5.426229558
1.833333333,5.100374605
3.833333333,5.508137562
1.833333333,4.964152087
3.833333333,5.557227926
3.833333333,5.604394397
2.333333333,4.686826489
1.333333333,4.813884159
2.333333333,5.284737825
1.333333333,4.4631916
1.833333333,5.583692028
2.333333333,5.559102745
4.333333333,5.382704586
4.833333333,5.820968947
4.666666667,5.961667063
2.333333333,5.552086432
3.833333333,5.707820063
1.833333333,4.940188618
3.333333333,5.70394535
4.333333333,5.735335348
4.333333333,5.908120954
2.833333333,5.211836297
4.333333333,5.763255969
3.833333333,5.73031033
1.833333333,5.067653496
4.833333333,5.945469638
2.833333333,5.521496976
3.833333333,5.535903567
3.833333333,5.71866414
1.833333333,5.160220721
1.333333333,4.161597731
1.333333333,4.854884404
4.333333333,6.010250595
3.833333333,5.603534129
3.833333333,5.511591377
2.833333333,5.806616243
3.833333333,5.720501196
1.833333333,5.181273883
2.833333333,5.281221558
2.833333333,5.348683567
2.833333333,5.703760559
1.833333333,4.963513082
2.833333333,5.622427772
3.333333333,5.72450381
2.833333333,5.160228924
1.833333333,4.864381197
1.333333333,5.04787552
2.333333333,5.616535302
1.833333333,5.161856431
3.333333333,5.381893139
1.333333333,4.14491724
3.833333333,6.029940387
3.333333333,5.154522795
1.333333333,4.4631916
1.333333333,4.80470879
1.333333333,5.15174309
4.333333333,5.915025616
2.833333333,5.66375758
3.833333333,5.291064659
3.333333333,5.776710654
3.833333333,5.329694135
2.333333333,2.742398868
3.833333333,5.872939419
3.833333333,5.737521211
2.333333333,5.659344343
3.833333333,5.230859578
3.833333333,5.552801179
3.833333333,5.554288538
2.333333333,4.943663832
2.333333333,2.867495227
3.833333333,5.625666008
3.333333333,5.862351441
3.333333333,5.683921521
5.333333333,5.797578559
3.333333333,5.247928858
4.333333333,5.98603144
1.833333333,4.854409912
2.333333333,5.022959374
1.333333333,5.116490168
2.333333333,5.666773911
3.833333333,4.899906969
4.833333333,5.965022007
4.333333333,5.870344497
1.833333333,4.858728018
3.833333333,5.772945715
3.833333333,5.825319852
3.833333333,5.900992018
4.833333333,5.799729031
3.333333333,5.454823662
2.833333333,5.167325303
4.333333333,5.459158913
3.833333333,5.316104584
3.833333333,5.698364252
3.833333333,5.861024214
3.833333333,5.629831176
4.333333333,5.920542502
4.333333333,5.925029229
4.833333333,5.983308038
4.833333333,5.95407997
2.833333333,5.524394668
2.833333333,4.753206581
3.833333333,5.718667005
1.833333333,5.234227734
2.833333333,5.296207656
3.833333333,5.666648669
1.333333333,5.114254515
4.333333333,5.970192056
1.333333333,4.462923893
3.333333333,5.864066879
4.333333333,5.773630831
2.833333333,5.341537077
4.333333333,5.667036284
3.833333333,4.364476064
1.333333333,4.171644006
4.333333333,5.867408018
3.333333333,3.237798298
4.833333333,5.646335593
3.833333333,5.918567703
2.333333333,3.433851743
1.833333333,5.384578144
3.833333333,5.182173674
4.333333333,5.830968318
2.833333333,5.011051564
4.333333333,4.964556618
2.833333333,5.767906706
1.833333333,5.098952157
4.833333333,5.717121536
3.333333333,2.939828309
4.833333333,5.596600612
3.833333333,5.579779741
5.833333333,5.986171982
2.833333333,5.655972921
3.833333333,4.872756649
3.833333333,5.923400051
2.833333333,5.681984996
4.833333333,5.699901921
3.833333333,5.818733754
1.833333333,2.74107221
3.833333333,5.536349714
3.333333333,5.772993994
1.333333333,5.11681969
3.333333333,5.228253832
3.833333333,5.719866083
2.333333333,5.062423425
4.333333333,5.645697583
2.833333333,5.703130939
3.833333333,5.726668958
4.333333333,5.884974127
1.833333333,5.161856431
2.333333333,5.149746773
3.333333333,5.234527736
3.333333333,5.446499375
2.833333333,5.208309407
3.833333333,5.549689611
3.833333333,5.625870727
3.833333333,5.612310886
1.333333333,4.824492166
4.333333333,5.739694087
4.333333333,5.820551089
1.333333333,4.067582452
1.833333333,5.013323806
4.333333333,5.825962327
2.333333333,4.991450001
3.833333333,5.575975932
4.333333333,5.681929812
1.333333333,4.159356931
2.833333333,5.671867631
1.833333333,4.941483716
3.333333333,5.594525754
1.333333333,5.112930008
1.833333333,4.977383232
2.833333333,5.007340714
3.833333333,5.891103446
2.833333333,5.615224564
2.833333333,5.57941623
2.333333333,5.063423258
2.333333333,5.374816805
3.333333333,5.708739288
2.833333333,5.620115743
1.333333333,4.170793928
3.833333333,5.843496019
3.333333333,5.815408787
3.333333333,4.831508552
3.333333333,5.694057563
2.833333333,5.300134248
2.333333333,4.954890822
2.333333333,5.025532918
2.833333333,5.660669511
3.833333333,5.707821782
3.333333333,5.448098002
2.333333333,5.603304781
3.333333333,5.739239255
2.833333333,5.688032584
1.333333333,4.17052019
1.833333333,5.05839589
3.833333333,5.818573303
3.833333333,5.267645445
3.833333333,5.793015476
3.333333333,5.360045763
2.833333333,5.695061127
1.833333333,4.854251825
3.333333333,4.912676881
2.833333333,5.289509608
3.333333333,5.74393987
2.833333333,2.917126392
1.333333333,4.068726457
4.333333333,5.755618507
3.833333333,5.675831655
2.833333333,5.508375797
3.833333333,5.814154384
4.833333333,5.960764693
2.833333333,4.923884383
4.333333333,5.67554626
3.833333333,5.66461086
2.333333333,4.709964876
1.333333333,4.068907259
1.333333333,4.808823302
4.333333333,4.255484467
5.333333333,5.786746559
1.333333333,4.808880285
3.833333333,5.437567572
3.333333333,5.202820727
2.833333333,4.769800896
3.333333333,5.461148654
2.833333333,5.712236035
1.833333333,5.159834047
4.333333333,5.604184822
3.833333333,5.842680491
4.333333333,5.918109817
1.833333333,4.995060469
1.333333333,5.047938485
4.333333333,5.736419123
1.833333333,5.490166927
3.333333333,5.710437572
1.833333333,4.882759509
4.833333333,5.665723489
1.833333333,5.0087307
2.333333333,5.131694587
2.833333333,5.763999609
3.833333333,5.645057881
4.333333333,5.637848054
3.333333333,5.478917332
3.833333333,5.759197768
3.833333333,5.548434283
3.333333333,5.929348715
3.333333333,5.824915587
4.333333333,5.973026681
3.333333333,5.295845792
3.833333333,5.516208801
4.333333333,5.605308675
2.333333333,5.147651199
2.333333333,2.215563581
3.833333333,5.718150426
1.833333333,4.942390478
3.833333333,5.570623025
2.333333333,5.078826965
2.833333333,5.773260045
2.833333333,2.884915885
1.833333333,5.052281619
1.833333333,5.008397168
2.833333333,5.7806025
1.833333333,5.042738104
2.333333333,5.078849232
4.333333333,5.712873692
4.833333333,5.700945609
1.333333333,4.462923893
3.333333333,5.40029829
2.833333333,5.38759922
3.333333333,5.372948855
4.833333333,5.782548607
3.833333333,5.555884985
1.833333333,4.938987396
2.333333333,4.934255003
5.333333333,6.088537891
2.833333333,4.807123941
2.833333333,4.75014445
3.333333333,5.220765006
3.333333333,5.721780756
2.833333333,4.940884087
3.833333333,5.861029208
3.833333333,5.82693579
3.333333333,5.6105126
4.833333333,5.757574426
4.333333333,5.692330472
1.333333333,5.041475029
1.333333333,5.047938485
2.833333333,5.564344772
1.333333333,5.106914917
4.333333333,5.675602503
1.333333333,4.810203622
4.333333333,5.835101266
1.833333333,5.147806143
3.333333333,5.598330379
3.333333333,4.65606443
4.833333333,5.789289344
2.833333333,5.566745672
2.333333333,5.597256755
1.833333333,2.741056013
3.833333333,5.739823344
3.166666667,5.799010391
2.333333333,5.653957814
2.833333333,2.913735962
1.833333333,5.033257208
3.333333333,5.795011923
3.333333333,5.363596623
2.333333333,4.156668692
4.166666667,5.127941608
4,5.757452022
3.333333333,5.689453573
3.333333333,5.709091917
2.333333333,5.071064446
5.333333333,5.863093864
4.333333333,5.695545028
4.333333333,5.907720511
1.833333333,4.955392412
5.333333333,5.950178723
4.833333333,5.665627922
4.833333333,5.975695831
4.833333333,5.926996273
4.333333333,5.75879035
3.833333333,5.726075609
2.333333333,5.170974418
3.333333333,5.158227101
1.833333333,5.037059414
4.333333333,5.755828789
1.833333333,5.539879155
2.833333333,2.88492671
3.333333333,5.746455596
2.833333333,5.158100367
3.333333333,5.733071677
1.833333333,5.058860735
3.333333333,5.622059515
3.333333333,5.13895564
2.333333333,5.012100135
2.833333333,5.45539677
3.833333333,5.528097882
3.833333333,5.744683918
3.333333333,5.00116902
4.333333333,5.754874106
3.333333333,5.917374248
3.333333333,5.464228204
4.333333333,5.895075805
2.833333333,4.70789978
2.333333333,2.894967232
2.333333333,5.213899039
4.333333333,5.029679858
3.833333333,5.553511415
1.833333333,4.995060469
4.333333333,5.954081046
3.833333333,5.767070307
3.333333333,5.752567384
3.833333333,5.58316498
2.333333333,5.155851932
4.333333333,5.861024214
2.833333333,5.425625009
4.333333333,5.419116814
1.333333333,5.11681969
2.833333333,4.686689019
1.333333333,5.118205935
3.833333333,5.82253239
2.833333333,5.789912037
2.833333333,2.901700192
1.333333333,4.915645938
3.833333333,5.130278331
4.333333333,5.87249333
3.833333333,5.608487932
2.833333333,5.305290503
3.833333333,5.621764065
1.333333333,5.116490168
1.333333333,4.841426438
4.333333333,5.956233067
2.833333333,5.382282351
2.833333333,5.275260027
3.333333333,5.785452923
4.833333333,5.862234143
2.333333333,2.867516391
2.833333333,5.790355643
3.833333333,5.84083943
3.333333333,5.732382458
1.833333333,5.088692791
3.333333333,5.650035825
3.333333333,4.839066816
1.333333333,5.116490168
3.333333333,5.59363381
4.833333333,5.868967283
3.333333333,5.510944257
3.333333333,5.80541817
2.333333333,4.976606614
3.333333333,5.724891087
3.833333333,5.449542546
1.833333333,5.486847935
2.833333333,5.549189839
1.333333333,5.112977942
2.333333333,5.147916602
2.833333333,2.957529602
2.333333333,4.60237793
3.833333333,5.872490001
1.833333333,2.7410781
3.833333333,5.267163686
2.333333333,2.867462776
5.333333333,5.914629501
2.333333333,5.120601429
3.833333333,5.920544708
2.833333333,5.04497463
1.333333333,4.852238711
4.333333333,5.606152042
3.333333333,5.815408787
2.833333333,4.604737084
4.833333333,5.950273021
2.333333333,5.374816117
1.833333333,4.85823848
2.333333333,5.082300694
3.833333333,5.73031033
1.833333333,5.383971784
3.333333333,5.148239576
3.333333333,5.478925729
1.833333333,5.561338523
4.833333333,6.253677409
2.833333333,2.901716339
3.833333333,5.781150322
3.833333333,5.162353076
2.833333333,5.583035206
1.333333333,5.047938485
4.833333333,5.907825181
4.333333333,5.907441274
2.833333333,4.604135267
2.833333333,5.297716743
1.333333333,4.890945752
3.833333333,5.726668958
4.333333333,5.589957191
3.833333333,5.629409058
2.833333333,5.463583465
1.833333333,5.100238734
2.833333333,3.940938535
4.333333333,5.773635291
4.333333333,5.597390023
4.333333333,5.646481318
1.333333333,5.11681969
4.333333333,5.833062266
2.833333333,2.917116973
4.833333333,5.956018467
3.833333333,5.597166738
4.833333333,5.916572173
3.333333333,5.661070315
4.833333333,5.980581945
4.833333333,5.974892172
2.333333333,5.603309076
4.833333333,5.952181094
3.333333333,4.764430816
3.333333333,5.384273006
3.833333333,5.815880018
4.333333333,5.851986547
3.333333333,4.639327963
3.833333333,5.115403156
2.833333333,5.836262182
1.333333333,4.890862841
2.333333333,5.107459846
3.333333333,5.611644564
