CCC,Execution
5.681984996,0.004238304
5.699901921,0.004838836
5.818733754,0.004514161
2.74107221,0.003849945
5.536349714,0.004558285
5.772993994,0.004360194
5.11681969,0.003770458
5.228253832,0.004376623
5.719866083,0.004523705
5.062423425,0.004027226
5.645697583,0.004716946
5.703130939,0.004247379
5.726668958,0.004518542
5.884974127,0.004666249
5.161856431,0.003949304
5.149746773,0.004020498
5.234527736,0.004330934
5.446499375,0.004389297
5.208309407,0.004242998
5.549689611,0.004502738
5.625870727,0.004488969
5.612310886,0.004542951
4.824492166,0.003812079
5.739694087,0.004686121
5.820551089,0.004735409
4.067582452,0.003731184
5.013323806,0.003872164
5.825962327,0.004713816
4.991450001,0.004055547
5.575975932,0.004543264
5.681929812,0.004713973
4.159356931,0.003735566
5.671867631,0.00421186
4.941483716,0.003912377
5.594525754,0.004340322
5.112930008,0.003857925
4.977383232,0.00387232
5.007340714,0.004163198
5.891103446,0.004537944
5.615224564,0.004206228
5.57941623,0.004211235
5.063423258,0.004015491
5.374816805,0.004045533
5.708739288,0.004362698
5.620115743,0.004202472
4.170793928,0.003726021
5.843496019,0.004494445
5.815408787,0.004399468
4.831508552,0.004299014
5.694057563,0.004319199
5.300134248,0.004208575
4.954890822,0.00403724
5.025532918,0.004062901
5.660669511,0.004204037
5.707821782,0.004539039
5.448098002,0.004353622
5.603304781,0.004018933
5.739239255,0.004332186
5.688032584,0.004213425
4.17052019,0.003698326
5.05839589,0.003838523
5.818573303,0.004534502
5.267645445,0.004491785
5.793015476,0.004517603
5.360045763,0.004381787
5.695061127,0.004232984
4.854251825,0.003845564
4.912676881,0.004319512
5.289509608,0.004224847
5.74393987,0.004342513
2.917126392,0.004162103
4.068726457,0.003742137
5.755618507,0.004687373
5.675831655,0.004502582
5.508375797,0.004202159
5.814154384,0.004532155
5.960764693,0.004827726
4.923884383,0.004146456
5.67554626,0.004673134
5.66461086,0.004500235
4.709964876,0.004017681
4.068907259,0.003742137
4.808823302,0.003697387
4.255484467,0.004604444
5.786746559,0.004991707
4.808880285,0.00379831
5.437567572,0.004514473
5.202820727,0.004370365
4.769800896,0.004179158
5.461148654,0.004371773
5.712236035,0.004255203
5.159834047,0.00395259
5.604184822,0.004655297
5.842680491,0.004546237
5.918109817,0.004690815
4.995060469,0.004010327
5.047938485,0.003800344
5.736419123,0.004688781
5.490166927,0.003913159
5.710437572,0.004447348
4.882759509,0.003865749
5.665723489,0.00487013
5.0087307,0.004031138
5.131694587,0.004088562
5.763999609,0.004334689
5.645057881,0.004568299
5.637848054,0.004751682
5.478917332,0.0043954
5.759197768,0.004670944
5.548434283,0.004500235
5.929348715,0.004416367
5.824915587,0.004544829
5.973026681,0.005019559
5.295845792,0.004439368
5.516208801,0.004550305
5.605308675,0.004701455
5.147651199,0.004017525
2.215563581,0.004058833
5.718150426,0.00453278
4.942390478,0.003860742
5.570623025,0.004569394
5.078826965,0.004010171
5.773260045,0.004253169
2.884915885,0.004136598
5.052281619,0.003866218
5.008397168,0.003919261
5.7806025,0.004185261
5.042738104,0.003961039
5.078849232,0.004011579
5.712873692,0.004669222
5.700945609,0.004887498
4.462923893,0.003715537
5.40029829,0.004418244
5.38759922,0.004263339
5.372948855,0.004352683
5.782548607,0.00486481
5.555884985,0.004512126
4.938987396,0.003867157
4.934255003,0.004018151
6.088537891,0.005004538
4.807123941,0.004192928
4.75014445,0.004156157
5.220765006,0.004338601
5.721780756,0.004396495
4.940884087,0.004151619
5.861029208,0.004557659
5.82693579,0.004562979
5.6105126,0.0043289
5.757574426,0.004817556
5.692330472,0.004732123
5.041475029,0.003809732
5.047938485,0.003788296
5.564344772,0.004272884
5.106914917,0.003811454
5.675602503,0.004745267
4.810203622,0.003794868
5.835101266,0.00476952
5.147806143,0.003997027
5.598330379,0.004455015
4.65606443,0.004359725
5.789289344,0.004934908
5.566745672,0.004316069
5.597256755,0.004148803
2.741056013,0.003862463
5.739823344,0.004588014
5.799010391,0.005483023
5.653957814,0.004150368
2.913735962,0.004224222
5.033257208,0.003977312
5.795011923,0.004474574
5.363596623,0.004505555
4.156668692,0.004088249
5.127941608,0.00382757
5.757452022,0.004618057
5.689453573,0.004424816
5.709091917,0.004470192
5.071064446,0.004158191
5.863093864,0.005103427
5.695545028,0.004757941
